TF,Target,importance,correlation,p_value
ALDH1A1,ABCC12,0.6638859000305758,0.6638859000305758,8.743176737670225e-27
ACTG1,AARSD1,0.66217816577261,0.66217816577261,1.307704842664669e-26
ANXA2,ABCD2,0.661522272531085,0.661522272531085,1.5253064912651163e-26
ANXA2,AATK-AS1,0.6604051288845931,0.6604051288845931,1.980744349946873e-26
ACTB,ABCB10,0.6585186373220646,0.6585186373220646,3.071483993642522e-26
B2M,A2M,0.656606469854735,0.656606469854735,4.776048429547568e-26
AKR1C2,ABCC6P1,0.6556439035746775,0.6556439035746775,5.95735042974508e-26
ADH1B,AAMP,0.6555430465897284,0.6555430465897284,6.096633076133585e-26
ANXA2,ABCA9,0.6552293600466205,0.6552293600466205,6.550620831376699e-26
ADIRF,A2MP1,0.6525858008064495,0.6525858008064495,1.1958806464067046e-25
AHNAK,ABCC10,0.6508169150184742,0.6508169150184742,1.7830021231200605e-25
ANXA2,AARS,0.6501218066382384,0.6501218066382384,2.0844989724023114e-25
ADIRF,ABCB6,0.6492896468450967,0.6492896468450967,2.5118667580106963e-25
ALDOA,ABCC9,0.6492464508588179,0.6492464508588179,2.5362613652272876e-25
AHNAK,AASDH,0.6491504854832617,0.6491504854832617,2.5912937553040925e-25
ANXA2,ABCA10,0.6463958163958069,0.6463958163958069,4.782980362364024e-25
ACTB,ABCB6,0.6432512434960939,0.6432512434960939,9.555014883634868e-25
ACTG1,AAGAB,0.6399146820782743,0.6399146820782743,1.973784381868508e-24
ALDH1A1,ABCC1,0.6390466720898486,0.6390466720898486,2.3802898327680787e-24
ADIRF,AAMP,0.6388894015874071,0.6388894015874071,2.4622820628109035e-24
B2M,ABCB7,0.6337360279538007,0.6337360279538007,7.389338719263687e-24
B2M,ABCA9,0.6334254384782929,0.6334254384782929,7.890107702568184e-24
ACTG1,ABCB6,0.6328712854356395,0.6328712854356395,8.867718927489149e-24
AHNAK,ABCA5,0.6310015134413304,0.6310015134413304,1.3128694987015759e-23
CD36,AADACL4,0.6308259898579034,0.6308259898579034,1.3619434542633046e-23
AHNAK,ABCB4,0.6278929593519891,0.6278929593519891,2.5059805273043078e-23
AHNAK,ABCA1,0.6273963164505979,0.6273963164505979,2.776772070186639e-23
ANXA2,A2M,0.6272111298748945,0.6272111298748945,2.884935074236276e-23
AGPAT2,AADACL4,0.6257266768828128,0.6257266768828128,3.9153127783143945e-23
ANXA2,ABCC2,0.6253782897052653,0.6253782897052653,4.2052374174576884e-23
ADIPOQ,AADACL4,0.6245938141025471,0.6245938141025471,4.9374837235295905e-23
B2M,ABCC9,0.6233626246505676,0.6233626246505676,6.346326702789495e-23
AHNAK,ABCA10,0.6227520173316431,0.6227520173316431,7.184722168443845e-23
B2M,ABCA10,0.6227023241735089,0.6227023241735089,7.257554509424024e-23
ACTB,ABCC10,0.6225370307263688,0.6225370307263688,7.505072180708787e-23
ACTG1,A4GALT,0.6222294671057154,0.6222294671057154,7.9878941050627e-23
AHNAK,ABCA9,0.620965030686006,0.620965030686006,1.0314239226511648e-22
ALDOA,ABCD3,0.6184327393601672,0.6184327393601672,1.7148967511393293e-22
ANXA2,ABCC9,0.6159520279808017,0.6159520279808017,2.809372744059024e-22
ALDOA,ABCC6P1,0.6142615350970748,0.6142615350970748,3.9229277461408284e-22
CD47,ABC7-42418200C9.1,0.6118539072060788,0.6118539072060788,6.289601112463908e-22
ALDOA,A2MP1,0.6104810522127866,0.6104810522127866,8.217534369053036e-22
B2M,ABCB6,0.608600232380308,0.608600232380308,1.182798424243501e-21
ALDH1A1,AARS,0.6079894848976031,0.6079894848976031,1.330596174539519e-21
ACSL1,AADACL4,0.6039672883519528,0.6039672883519528,2.8712596293790406e-21
AHNAK,ABCC11,0.5983099560038643,0.5983099560038643,8.317183742055573e-21
B2M,AADACL4,0.5954795609890073,0.5954795609890073,1.4049630029240525e-20
AKR1C2,A2MP1,0.5940626884433121,0.5940626884433121,1.8230731375635565e-20
AKR1C2,AADACL4,0.5934229229096878,0.5934229229096878,2.0497834733855367e-20
B2M,AAGAB,0.5923775404642779,0.5923775404642779,2.481090094030725e-20
ACTB,ABCC3,0.5895819949851465,0.5895819949851465,4.1205440676337934e-20
AKR1C2,A4GALT,0.5885176343671509,0.5885176343671509,4.9920229626851375e-20
ALDOA,ABCB10,0.5869991619585085,0.5869991619585085,6.555704345730861e-20
ACTB,AARS2,0.5845739010386859,0.5845739010386859,1.0100741480988362e-19
ANXA2,ABCC11,0.5843482609301056,0.5843482609301056,1.05133227926469e-19
AKR1C2,ABC7-42404400C24.1,0.5829384716964903,0.5829384716964903,1.3491704890841608e-19
ALDOA,AASDHPPT,0.5814601040363894,0.5814601040363894,1.750255256130303e-19
ACTG1,AARS2,0.5776330150840672,0.5776330150840672,3.4124923949880703e-19
ALDOA,ABCB1,0.5734644907520468,0.5734644907520468,6.992449520365527e-19
AHNAK,A4GALT,0.5707068747053367,0.5707068747053367,1.1176835568014126e-18
ANXA2,ABCD4,0.5695691534797062,0.5695691534797062,1.3545708934853863e-18
ANXA2,ABCB7,0.5653090616680988,0.5653090616680988,2.764098133136472e-18
ALDOA,ABCC5,0.5633463217783832,0.5633463217783832,3.826224810812781e-18
ACTB,ABCC2,0.5624377126561544,0.5624377126561544,4.444552026068105e-18
ACTB,AADACP1,0.5615625321123625,0.5615625321123625,5.132204034537852e-18
ACTG1,AASDHPPT,0.560570867620931,0.560570867620931,6.037720946318146e-18
CD74,ABCB10,0.5588013955435015,0.5588013955435015,8.057668340915377e-18
ALDOA,ABCC1,0.5583612698588993,0.5583612698588993,8.655039300522374e-18
AHNAK,ABCC6P2,0.5578243050439843,0.5578243050439843,9.442793780089312e-18
ANXA2,AAGAB,0.5570499469152087,0.5570499469152087,1.0703785081865692e-17
ACTG1,ABC13-48559800H2.1,0.5545345939441456,0.5545345939441456,1.6046955663766316e-17
AGPAT2,AAR2,0.5535384218288886,0.5535384218288886,1.8820411813901777e-17
ACTG1,ABCB7,0.5532289909983786,0.5532289909983786,1.9773720513311484e-17
ACTG1,AADAT,0.5527959296136846,0.5527959296136846,2.118772143416975e-17
ACTB,ABC13-48559800H2.1,0.5521772840276371,0.5521772840276371,2.3380793752109124e-17
ALDH1A1,AAMP,0.5508032297194098,0.5508032297194098,2.907700103334833e-17
ACSL1,AAR2,0.5495734970971083,0.5495734970971083,3.53123458507703e-17
CD74,ABCB7,0.5488460274541923,0.5488460274541923,3.959847208562946e-17
ANXA2,AADAT,0.5488023034391656,0.5488023034391656,3.9871711843561614e-17
CD36,AAR2,0.5476111616788629,0.5476111616788629,4.806792581402508e-17
CD74,AATF,0.5449695662986287,0.5449695662986287,7.257149618190273e-17
B2M,AATF,0.5432925562343724,0.5432925562343724,9.408787546553319e-17
ANXA2,ABCC10,0.5423855753850324,0.5423855753850324,1.0820830374464048e-16
CD74,AAGAB,0.5412598258922166,0.5412598258922166,1.286415278514299e-16
AHNAK,ABCB9,0.5405029231772134,0.5405029231772134,1.444545681333209e-16
B2M,A2MP1,0.5392317007070827,0.5392317007070827,1.7539233777612732e-16
AHNAK,ABCA11P,0.5381262904761358,0.5381262904761358,2.0749556461728202e-16
ACTB,ABC9-43961700F1.1,0.5379737092844921,0.5379737092844921,2.1235567446626934e-16
AHNAK,A1BG,0.5362782179676789,0.5362782179676789,2.744447993127078e-16
ACTB,ABC7-42404400C24.1,0.5361189149098537,0.5361189149098537,2.8111814333689643e-16
ALDH1A1,ABCB6,0.5331897967063814,0.5331897967063814,4.3627549811873505e-16
B2M,ABCC6P2,0.5331652783250705,0.5331652783250705,4.3787559854962793e-16
ANXA2,ABCC6P1,0.5329736371668027,0.5329736371668027,4.50581634897053e-16
ADIPOQ,AAR2,0.5329000594092679,0.5329000594092679,4.555551116326981e-16
ACTB,ABCB10P1,0.5318931812793732,0.5318931812793732,5.292549004652557e-16
ALDOA,ABCC10,0.5317436537808434,0.5317436537808434,5.411500994432534e-16
ALDOA,AADAT,0.5312411028716616,0.5312411028716616,5.830762980460833e-16
ACTB,ABCB9,0.5305481462461968,0.5305481462461968,6.461354145318098e-16
AKR1C2,ABCC3,0.5285015907847522,0.5285015907847522,8.738660701979721e-16
ADH1B,AAR2,0.5280450267811866,0.5280450267811866,9.344931772228889e-16
B2M,ABCB1,0.5272207656313131,0.5272207656313131,1.0545268577440585e-15
ALDOA,ABCA11P,0.52700741916488,0.52700741916488,1.0879737819913972e-15
B2M,ABCC6P1,0.5269909470387262,0.5269909470387262,1.0905988600691691e-15
ACTG1,ABCA7,0.5269498155747049,0.5269498155747049,1.0971808314655612e-15
AKR1C2,AADACP1,0.5268520133330967,0.5268520133330967,1.1129877430023316e-15
AHNAK,ABC13-47488600E17.1,0.5264761460603841,0.5264761460603841,1.1758339282466962e-15
B2M,ABCD4,0.5264029773916356,0.5264029773916356,1.1884651120799336e-15
AKR1C2,ABCD4,0.5256168307021694,0.5256168307021694,1.3328289557300882e-15
ANXA2,ABCB10P1,0.5247148769078641,0.5247148769078641,1.5196313662905569e-15
ALDOA,AARS2,0.5234451937011471,0.5234451937011471,1.8265880425291188e-15
CD74,AAR2,0.5219083099375731,0.5219083099375731,2.2798860054921076e-15
AKR1C2,AARS,0.5206656429165282,0.5206656429165282,2.7252160993852502e-15
ALDH1A1,AAR2,0.5196155341791576,0.5196155341791576,3.1669091731309015e-15
