TF,Target,Correlation
ALDH1A1,AATK-AS1,0.051086655474609936
ALDH1A1,ABC13-47656900H15.1,0.02466276041116323
ALDH1A1,ABCD1P5,-0.01189318968418405
ALDH1A1,ABCA5,0.007951241950345004
ALDH1A1,ABCA2,0.2521532981303802
ALDH1A1,ABCB9,0.38945527770177363
ALDH1A1,ABC7-42418200C9.1,-0.011755233834740609
ALDH1A1,ABC7-42404400C24.1,0.8825626744062709
ALDH1A1,AARSD1,0.4951928635090971
ALDH1A1,ABCA10,0.0407071186458035
ALDH1A1,AADACP1,0.9553739561272238
ALDH1A1,AAR2,0.5196155341791576
ALDH1A1,A3GALT2,-0.0054669653561222175
ALDH1A1,AADAC,0.3107022236280817
ALDH1A1,ABCA3,0.26499350809194117
ALDH1A1,ABCA4,0.04517140850835527
ALDH1A1,A2MP1,0.007199185752412158
ALDH1A1,AAMP,0.5508032297194098
ALDH1A1,ABCA11P,0.049943260023909225
ALDH1A1,ABCA1,0.028178536855244178
ALDH1A1,ABCC3,0.9442776343637196
ALDH1A1,ABCC10,0.39369326434712404
ALDH1A1,ABCC2,0.9753586954908837
ALDH1A1,AAAS,0.7184937232304007
ALDH1A1,ABCA9,0.030741850582990785
ALDH1A1,AACS,0.18733430806938275
ALDH1A1,ABCC4,0.07568537377732269
ALDH1A1,ABC9-43961700F1.1,-0.009871928174416232
ALDH1A1,ABCC6,0.05847414699416876
ALDH1A1,ABCC6P1,0.057861120650000965
ALDH1A1,ABCC12,0.6638859000305758
ALDH1A1,ABCA17P,0.029615058787961376
ALDH1A1,ABC13-48559800H2.2,-0.010531752585878526
ALDH1A1,AANAT,0.46479235796366747
ALDH1A1,ABC13-47488600E17.1,0.18105861792577801
ALDH1A1,AARS2,0.34456001084887905
ALDH1A1,ABCC9,0.028034382889782015
ALDH1A1,ABCC1,0.6390466720898486
ALDH1A1,AATF,0.3098489185463726
ALDH1A1,ABCB1,0.011754568604764553
ALDH1A1,AAMDC,0.05925698592162048
ALDOA,ABC14-864958H18.2,0.282900864643007
ALDOA,ABCB7,0.7452061939733636
ALDOA,AAK1,0.4113616499402992
ALDOA,ABCD4,0.6783042233743326
ALDOA,ABC7-42391500H16.4,0.21629465106008686
ALDOA,ABC12-47964100C23.1,0.7646567705088756
ALDOA,AADAT,0.5312411028716616
ALDOA,AADACL3,0.2959085541067982
ALDOA,AB019441.29,0.3088065755244613
ALDOA,A2M,0.7127891051625657
ALDOA,ABCB10P3,0.037127969815569796
ALDOA,ABCA7,0.4756340908240953
ALDOA,AASS,0.10433973452952139
ALDOA,ABCB8,0.7995025331461354
ALDOA,ABCC13,0.04110190895034304
ALDOA,AARS,0.7010502862091773
ALDOA,ABCA8,0.7296476640830798
ALDOA,ABCB4,0.1289474601766805
ALDOA,AASDH,0.5104833411373413
ALDOA,A4GALT,0.7041314229082878
ALDOA,ABCB6,0.9034536955210797
ALDOA,ABCC6P2,0.7192460917854926
ALDOA,ABCB10P1,0.3283088847486808
ALDOA,ABCB11,0.4227258790171992
ALDOA,ABCB10P4,0.02320869546456352
ALDOA,ABCC11,0.487878913199512
ALDOA,A1BG,0.26933634215442875
ALDOA,AAGAB,0.7055986638540742
ALDOA,AADACL4,0.5100315527839393
ALDOA,ABCB10,0.5869991619585085
ALDOA,AASDHPPT,0.5814601040363894
ALDOA,ABCD2,0.7586478323896759
ALDOA,ABCC5,0.5633463217783832
ALDOA,ABC13-48559800H2.1,0.3842702522891959
ALDOA,AAED1,0.3559379154930914
ALDOA,ABCA6,0.32962199866217706
ALDOA,ABCD3,0.6184327393601672
ALDOA,ABCD1,0.47962966096375903
ALDOA,AATK-AS1,0.764239362659811
ALDOA,ABC13-47656900H15.1,0.29051264012767397
ALDOA,ABCD1P5,0.049399395917020875
ALDOA,ABCA5,0.29955050555056456
ALDOA,ABCA2,0.36487448422398855
ALDOA,ABCB9,0.45902306383638813
ALDOA,ABC7-42418200C9.1,-0.0016234528757481687
ALDOA,ABC7-42404400C24.1,0.4910582329573912
ALDOA,AARSD1,0.9366594726700157
ALDOA,ABCA10,0.6778474323620438
ALDOA,AADACP1,0.427575732864066
ALDOA,AAR2,0.8957820103531821
ALDOA,A3GALT2,0.15470257355397932
ALDOA,AADAC,0.8508526690471243
ALDOA,ABCA3,0.45295922781128994
ALDOA,ABCA4,0.49947885236629147
ALDOA,A2MP1,0.6104810522127866
ALDOA,AAMP,0.9452967061274836
ALDOA,ABCA11P,0.52700741916488
ALDOA,ABCA1,0.3652935535321813
ALDOA,ABCC3,0.4397025806172054
ALDOA,ABCC10,0.5317436537808434
ALDOA,ABCC2,0.38826902719614126
ALDOA,AAAS,0.8419243412606848
ALDOA,ABCA9,0.6796527488085993
ALDOA,AACS,0.8893053895316221
ALDOA,ABCC4,0.289716697636475
ALDOA,ABC9-43961700F1.1,0.1668598363472648
ALDOA,ABCC6,0.7835597390021368
ALDOA,ABCC6P1,0.6142615350970748
ALDOA,ABCC12,0.20026184374162034
ALDOA,ABCA17P,0.21482356120213106
ALDOA,ABC13-48559800H2.2,0.08434171481050869
ALDOA,AANAT,0.30590415918003105
ALDOA,ABC13-47488600E17.1,0.2954386690320324
ALDOA,AARS2,0.5234451937011471
ALDOA,ABCC9,0.6492464508588179
ALDOA,ABCC1,0.5583612698588993
ALDOA,AATF,0.6764187143842673
ALDOA,ABCB1,0.5734644907520468
ALDOA,AAMDC,0.7827096106160869
ADH1B,ABC14-864958H18.2,0.22059530153990362
ADH1B,ABCB7,0.4195171610398282
ADH1B,AAK1,0.2779748337100254
ADH1B,ABCD4,0.46967225897018616
ADH1B,ABC7-42391500H16.4,0.14322048092814887
ADH1B,ABC12-47964100C23.1,0.9967982733562776
ADH1B,AADAT,0.2568576652778935
ADH1B,AADACL3,0.3675428254989391
ADH1B,AB019441.29,0.17753672230727127
ADH1B,A2M,0.9026059474972361
ADH1B,ABCB10P3,-0.0037386417505351614
ADH1B,ABCA7,0.1704823157257302
ADH1B,AASS,0.07276403972619014
ADH1B,ABCB8,0.4004378143161712
ADH1B,ABCC13,0.020942811536808218
ADH1B,AARS,0.23813250237340164
ADH1B,ABCA8,0.9164864088602981
ADH1B,ABCB4,0.08109919298448871
ADH1B,AASDH,0.3242111448011657
ADH1B,A4GALT,0.5187359137894674
ADH1B,ABCB6,0.6723550154810137
ADH1B,ABCC6P2,0.7171598656968834
ADH1B,ABCB10P1,-0.018708303148589192
ADH1B,ABCB11,0.38366504752891056
ADH1B,ABCB10P4,-0.011276872821241415
ADH1B,ABCC11,0.32785039698207363
ADH1B,A1BG,0.15206292219171863
ADH1B,AAGAB,0.3096378208933032
ADH1B,AADACL4,0.724168745620704
ADH1B,ABCB10,0.23938785435111118
ADH1B,AASDHPPT,0.22665815205042278
ADH1B,ABCD2,0.957711393138607
ADH1B,ABCC5,0.27301828412472506
ADH1B,ABC13-48559800H2.1,-0.03789550292648682
ADH1B,AAED1,0.27172359407499075
ADH1B,ABCA6,0.3579427713380412
ADH1B,ABCD3,0.3746986927014011
ADH1B,ABCD1,0.35226345884266097
ADH1B,AATK-AS1,0.9727836115102831
ADH1B,ABC13-47656900H15.1,0.10130409725101934
ADH1B,ABCD1P5,0.07401583242181208
ADH1B,ABCA5,0.2868320759970119
ADH1B,ABCA2,0.22745309748129242
ADH1B,ABCB9,0.12030413052379221
ADH1B,ABC7-42418200C9.1,0.0159082112941498
ADH1B,ABC7-42404400C24.1,0.13742045435313208
ADH1B,AARSD1,0.7274052822478588
ADH1B,ABCA10,0.8085913243100505
ADH1B,AADACP1,0.028028915001011366
ADH1B,AAR2,0.5280450267811866
ADH1B,A3GALT2,0.009597164082716443
ADH1B,AADAC,0.9540006435217583
ADH1B,ABCA3,0.26975877252142405
ADH1B,ABCA4,0.45957461706821096
ADH1B,A2MP1,0.6936262478304074
ADH1B,AAMP,0.6555430465897284
ADH1B,ABCA11P,0.4050860952115008
ADH1B,ABCA1,0.3704787678593394
ADH1B,ABCC3,0.028201222959113453
ADH1B,ABCC10,0.18133145526120725
ADH1B,ABCC2,0.0013057784619128594
ADH1B,AAAS,0.4241695094143153
ADH1B,ABCA9,0.8326100606863293
ADH1B,AACS,0.8755018559010759
ADH1B,ABCC4,-0.013041647947086251
ADH1B,ABC9-43961700F1.1,-0.011091700663937816
ADH1B,ABCC6,0.9512456984862434
ADH1B,ABCC6P1,0.7542786999135345
ADH1B,ABCC12,-0.039782731040005875
ADH1B,ABCA17P,0.18094979558646693
ADH1B,ABC13-48559800H2.2,-0.011687822562969132
ADH1B,AANAT,0.07731252507790684
ADH1B,ABC13-47488600E17.1,0.05403922065735283
ADH1B,AARS2,0.13559500363161606
ADH1B,ABCC9,0.790440464575644
ADH1B,ABCC1,0.04140704856534733
ADH1B,AATF,0.26867360236946625
ADH1B,ABCB1,0.44973545089995337
ADH1B,AAMDC,0.9931282486778908
ANXA2,ABC14-864958H18.2,0.30271345906656816
ANXA2,ABCB7,0.5653090616680988
ANXA2,AAK1,0.45491704234545466
ANXA2,ABCD4,0.5695691534797062
ANXA2,ABC7-42391500H16.4,0.11448246751877436
ANXA2,ABC12-47964100C23.1,0.6771139075710215
ANXA2,AADAT,0.5488023034391656
ANXA2,AADACL3,0.322234627284927
ANXA2,AB019441.29,0.1625405678018216
ANXA2,A2M,0.6272111298748945
ANXA2,ABCB10P3,-0.015860616045151116
ANXA2,ABCA7,0.32055089310065954
ANXA2,AASS,0.1098000279454169
ANXA2,ABCB8,0.8338966125366448
ANXA2,ABCC13,0.05141508210090814
ANXA2,AARS,0.6501218066382384
ANXA2,ABCA8,0.679289326516305
ANXA2,ABCB4,0.13950499089544588
ANXA2,AASDH,0.44917807870512283
ANXA2,A4GALT,0.6912531314759901
ANXA2,ABCB6,0.8835870301796578
ANXA2,ABCC6P2,0.7169669460507394
ANXA2,ABCB10P1,0.5247148769078641
ANXA2,ABCB11,0.3765277985793749
ANXA2,ABCB10P4,-0.025941661102281972
ANXA2,ABCC11,0.5843482609301056
ANXA2,A1BG,0.2296334422341788
ANXA2,AAGAB,0.5570499469152087
ANXA2,AADACL4,0.4325873058856546
ANXA2,ABCB10,0.3846538791494893
ANXA2,AASDHPPT,0.4350500982932123
ANXA2,ABCD2,0.661522272531085
ANXA2,ABCC5,0.464434027209676
ANXA2,ABC13-48559800H2.1,0.29998105101392397
ANXA2,AAED1,0.3985457802704475
ANXA2,ABCA6,0.3777497837583174
ANXA2,ABCD3,0.5129690876179991
ANXA2,ABCD1,0.4370237625726557
ANXA2,AATK-AS1,0.6604051288845931
ANXA2,ABC13-47656900H15.1,0.1719174678045766
ANXA2,ABCD1P5,0.11555840808856396
ANXA2,ABCA5,0.29307512686819126
ANXA2,ABCA2,0.3661204287467368
ANXA2,ABCB9,0.49678769841831466
ANXA2,ABC7-42418200C9.1,0.01574541027480698
ANXA2,ABC7-42404400C24.1,0.6640225798132471
ANXA2,AARSD1,0.863836795606646
ANXA2,ABCA10,0.6463958163958069
ANXA2,AADACP1,0.674200267085862
ANXA2,AAR2,0.7955963174539592
ANXA2,A3GALT2,0.13204398999464032
ANXA2,AADAC,0.8330107894338347
ANXA2,ABCA3,0.3785673372998386
ANXA2,ABCA4,0.47917208571642467
ANXA2,A2MP1,0.5073427046243854
ANXA2,AAMP,0.8738210554328106
ANXA2,ABCA11P,0.4338652748476398
ANXA2,ABCA1,0.4012395198832454
ANXA2,ABCC3,0.6758803977144544
ANXA2,ABCC10,0.5423855753850324
ANXA2,ABCC2,0.6253782897052653
ANXA2,AAAS,0.8245526109766446
ANXA2,ABCA9,0.6552293600466205
