source,target,support_count,avg_score
B2M,ABCA10,3,0.6172486223383463
B2M,ABCD2,3,0.5990467909079956
B2M,ABCC6,3,0.6800521828525463
B2M,AARSD1,3,0.7168005624122085
B2M,AATF,3,0.6279671906383655
B2M,AAGAB,3,0.6763601145060324
B2M,ABCC6P1,3,0.45558568244788383
B2M,AADACL3,3,0.3529593813432281
B2M,A4GALT,3,0.6506166197497388
B2M,ABCD1,3,0.5266213966252054
B2M,ABCB11,3,0.3738601422173729
B2M,AAK1,3,0.4543527760929403
B2M,ABCC11,3,0.44222560192624377
B2M,AACS,3,0.774335146389129
B2M,ABCA6,3,0.47010263182743506
B2M,AAAS,3,0.5908159538415635
B2M,ABCC5,3,0.45907183983928235
B2M,AAMP,3,0.7054623049715442
B2M,AARS,3,0.5476722293096038
B2M,A2M,2,0.656606469854735
B2M,A2MP1,3,0.506478026936558
B2M,ABCA9,3,0.5732549418877553
B2M,ABCD4,3,0.5913944697368781
B2M,ABCA7,3,0.4825443278254708
B2M,ABCA5,3,0.4890847874005652
B2M,ABCA11P,3,0.5265456806502916
B2M,ABCA8,2,0.6668879408950962
B2M,AAR2,3,0.7087401421857834
B2M,ABCC10,3,0.5080864424445326
B2M,AADAC,3,0.6495736634445816
B2M,ABCA4,3,0.33721951063875516
B2M,ABCD3,3,0.591135959895457
B2M,ABC12-47964100C23.1,2,0.7433874026871848
B2M,AASDHPPT,3,0.5803972385523083
ACTB,ABCB10P1,2,0.5318931812793732
ACTB,ABCC6P2,3,0.3424775161670295
ACTB,ABCB9,3,0.5713849358509483
ACTB,ABC13-47656900H15.1,3,0.39256087181545113
ACTB,ABCC1,3,0.7468946088275521
ACTB,ABCB6,3,0.6683974142557947
ACTB,ABC9-43961700F1.1,2,0.5379737092844921
ACTB,ABCB10,3,0.7224701705783302
ACTB,AACS,3,0.5842780756487453
ACTB,AARS2,3,0.6642470451200674
ACTB,ABC13-47488600E17.1,3,0.4360266584552004
ACTB,AAED1,3,0.50044027136398
ACTB,AADACP1,3,0.48715462292823886
ACTB,AARSD1,3,0.7329514943304459
ACTB,AATF,3,0.8029779024383106
ACTB,AAGAB,3,0.7517830086205611
ACTB,A4GALT,3,0.7062935625931649
ACTB,AADAT,3,0.46234364569614256
ACTB,ABCD1,3,0.4558875614680693
ACTB,AAK1,3,0.46908356643671434
ACTB,ABCC11,3,0.5038656373455853
ACTB,ABCC12,2,0.3253433841233936
ACTB,ABCA6,3,0.3495568369251532
ACTB,ABCC2,3,0.5275442971539394
ACTB,AAAS,3,0.826980784971829
ACTB,ABCC5,3,0.5190376446189499
ACTB,AAMP,3,0.7661916072353573
ACTB,AARS,3,0.7932120914203918
ACTB,ABCC3,3,0.5861765623427013
ACTB,ABC7-42404400C24.1,3,0.47779699847754875
ACTB,ABCD4,3,0.5840573549149819
ACTB,ABCA7,3,0.5408790472682588
ACTB,ABCA11P,3,0.43529087916004966
ACTB,AAR2,3,0.832589139362795
ACTB,ABCC10,3,0.6859985529041955
ACTB,ABCC4,3,0.4861380122569561
ACTB,AADAC,3,0.3416228176990985
ACTB,ABCD3,3,0.6142623823470099
ACTB,AASDHPPT,3,0.7020161180043761
ACTB,ABC13-48559800H2.1,3,0.5733419104385434
ACTB,ABCB8,3,0.7448883600143349
ACTB,AB019441.29,3,0.44824920796109985
ACTB,AASDH,3,0.5782537783285346
ACTB,AANAT,3,0.4350102607484454
ACTB,ABCB7,3,0.7088868546364834
ACSL1,ABCB1,3,0.4889134339583032
ACSL1,ABCC6P1,2,0.7547297923651043
ACSL1,ABCB6,3,0.6787603292919598
ACSL1,AATK-AS1,2,0.9339804615900088
ACSL1,A4GALT,3,0.5396288719970621
ACSL1,ABCA1,3,0.4651049659286401
ACSL1,AACS,3,0.8355490064849199
ACSL1,AAMP,3,0.7054518807373511
ACSL1,ABCC9,3,0.7486018337863469
ACSL1,AAMDC,3,0.8801097098978158
ACSL1,ABCA10,3,0.8247606763177068
ACSL1,ABCD2,3,0.7895587683057416
ACSL1,ABCC6,3,0.8595402999350269
ACSL1,AARSD1,3,0.7398097944331258
ACSL1,AAGAB,3,0.48740845664295646
ACSL1,AADACL3,3,0.3768713826700001
ACSL1,ABCD1,3,0.4860110371079867
ACSL1,ABCB11,3,0.41677382411740765
ACSL1,AADAC,3,0.7742020600602394
ACSL1,ABCC11,3,0.4561313148106419
ACSL1,ABCA6,3,0.46241165918741794
ACSL1,AAAS,3,0.5569810229616369
ACSL1,ABCB8,3,0.5195387878035168
ACSL1,ABCC5,3,0.4639546901092763
ACSL1,A2M,2,0.9143621684692744
ACSL1,A2MP1,3,0.6659144449526505
ACSL1,ABCA9,3,0.7724122537748818
ACSL1,ABCD4,3,0.5806283180952138
ACSL1,ABCC6P2,2,0.722323417186897
ACSL1,ABCA11P,3,0.5210766112899247
ACSL1,ABCA8,2,0.9372190906134492
ACSL1,AAR2,3,0.6196704170150386
ACSL1,ABCA4,3,0.4435046417743403
ACSL1,ABCD3,3,0.5186693996283788
ACSL1,ABC12-47964100C23.1,2,0.9631573621717386
ACSL1,AADACL4,2,0.6039672883519528
ACSL1,AASDH,3,0.5000918880455419
ACSL1,ABCB7,3,0.5611998309793843
